Category,Quote
love,nothing special sure common man common thought i've led common life monument dedicated name soon forgotten i've loved another heart soul always enough
doomed,i'm love said quietly augustus said said staring could see corner eye crinkling i'm love i'm business denying simple pleasure saying true thing i'm love know love shout void oblivion inevitable we're doomed come day labor returned dust know sun swallow earth we'll ever love
love,love look eye mind therefore winged cupid painted blind
love,love like wind can't see feel
love,people think soul mate perfect fit that's everyone want true soul mate mirror person show everything holding back person brings attention change life true soul mate probably important person ever meet tear wall smack awake live soul mate forever nah painful soul mate come life reveal another layer leave soul mate purpose shake tear apart ego little bit show obstacle addiction break heart open new light get make desperate control transform life introduce spiritual master
attributed-no-source,make woman laugh make anything
imperfect,love someone they're perfect love spite fact they're
love,little weird life little weird find someone whose weirdness compatible join fall mutually satisfying weirdness call love true love
death,love never dy natural death dy know replenish source dy blindness error betrayal dy illness wound dy weariness withering tarnishings
friendship,nothing would really friend notion loving people half nature
attributed-no-source,real lover man thrill kissing forehead smiling eye staring space
friendship,flower every time thought could walk garden forever
love,love vulnerable love anything heart wrung possibly broken want make sure keeping intact must give one even animal wrap carefully round hobby little luxury avoid entanglement lock safe casket coffin selfishness casket safe dark motionless airless change broken become unbreakable impenetrable irredeemable love vulnerable
desire,someone love way talk different feel safe comfortable
dumbledore,dumbledore watched fly away silvery glow faded turned back snape eye full tear time always said snape
dying,i've making list thing teach school teach love somebody teach famous teach rich poor teach walk away someone love longer teach know what's going someone else's mind teach say someone who's dying teach anything worth knowing
adventure,die awfully big adventure
humor,lady's imagination rapid jump admiration love love matrimony moment
love,gonna easy going really hard we're gonna work everyday want want want forever everyday everyday
life,think can't get worse think can't get better
love,ti better loved lost never loved
love,love certain dark thing loved secret shadow soul
inspirational,perfect either two never perfect make laugh least cause think twice admits human making mistake hold onto give going quote poetry thinking every moment give part know could break hurt change expect give analyze smile make happy yell make mad miss love hard love perfect guy exist always one guy perfect
life,one love one love never ever person
faith,people understand promise they're making make said right course keep promise anyway that's love love keeping promise anyway
love,longer believed idea soul mate love first sight beginning believe time life lucky might meet someone exactly right perfect combined flaw arranged way allowed two separate being hinge together
love,love needing someone love putting someone's bad quality somehow complete
despair,despair remember history way truth love always tyrant murderer time seem invincible end always fall think it--always
bible,love patient love kind envy boast proud rude self-seeking easily angered keep record wrong love delight evil rejoices truth always protects always trust always hope always perseveres
love,one loved one loved reason needed loving
hope,love always strive become better strive become better everything around u becomes better
love,love thing love
love,would die live
love,vain struggled feeling repressed must allow tell ardently admire love
love,perhaps dragon life princess waiting see u act beauty courage perhaps everything frightens u deepest essence something helpless want love
love,always dream
friendship,best friend well lover know side enjoy treasure side treasured life together
love,carry heart carry heart never without anywherei go go dear whatever done darling fear fate fate sweet want world beautiful world true whatever moon always meant whatever sun always sing youhere deepest secret nobody know root root bud bud sky sky tree called life growshigher soul hope mind hide wonder that's keeping star aparti carry heart carry heart
boys,thing worse boy hate boy love
love,love entire universe conspired help find
cassandra-clare,looking ehe said asking still want could stop loving would want give thing make stronger anything else ever never dared give much anyone ebit lightwood isabelle alec took year ebut clary since first time saw belonged completely still want
life,love life
love,never love anyone treat like ordinary
happiness,promise yourselfto strong nothingcan disturb peace mind talk health happiness prosperityto every person meet make friend feelthat something themto look sunny side everythingand make optimism come true think best work best expect best enthusiastic success othersas forget mistake pastand press greater achievement future wear cheerful countenance timesand give every living creature meet smile give much time improvement yourselfthat time criticize others large worry noble anger strong fear happy permit presence trouble think well proclaim fact world loud word great deed live faith whole world sideso long true best
love,would always rather happy dignified
heartbreak,life break nobody protect living alone either solitude also break yearning love feel reason earth risk heart swallowed happens broken betrayed left hurt death brush near let sit apple tree listen apple falling around heap wasting sweetness tell tasted many could
love,upon time boy loved girl laughter question wanted spend whole life answering
love,nobody ever measured even poet much heart hold
love,best love kind awakens soul make u reach plant fire heart brings peace mind that's given that's i'd hoped give forever
beatles,two basic motivating force fear love afraid pull back life love open life offer passion excitement acceptance need learn love first glory imperfection cannot love cannot fully open ability love others potential create evolution hope better world rest fearlessness open-hearted vision people embrace life
love,fell love despite difference something rare beautiful created love like happened that's every minute spent together seared memory i'll never forget single moment
love,woman choose follow men woman choose follow dream wondering way go remember career never wake tell love anymore
breakup,think still love escape fact enough knew going happen blaming falling love another woman angry either feel pain lot pain thought could imagine much would hurt wrong
logic,loved love love
bella,lion fell love lamb murmured looked away hiding eye thrilled word stupid lamb sighed sick masochistic lion
heartache,good sign broken heart mean tried something
love,every heart sings song incomplete another heart whisper back wish sing always find song touch lover everyone becomes poet
love,heard said silly romantic think want heaven shooting star want gemstone gold thing already want steady hand kind soul want fall asleep wake knowing heart safe want love loved
dave-matthews,guy girl friend one point another fall maybe temporarily maybe wrong time maybe late maybe forever
love,know world convinced shall never see man really love require much
art,eleanor right never looked nice looked like art art supposed look nice supposed make feel something
love,he's whatever soul made mine
hate,decided stick love hate great burden bear
fate,what's meant always find way
lies,lie man lie listens lie come point cannot distinguish truth within around loses respect others respect cease love
friendship,beyond idea wrongdoing rightdoing field i'll meet soul lie grassthe world full talk
love,everyone point life wake middle night feeling alone world nobody love nobody ever love never decent night's sleep spend life wandering blearily around loveless landscape hoping desperately circumstance improve suspecting heart heart remain unloved forever best thing circumstance wake somebody else feel way
happiness,say person need three thing truly happy world someone love something something hope
love,two people love alone isolated world that's beautiful
love,relationship perfect ever always way bend compromise give something order gain something greater love bigger small difference that's key like big pie chart love relationship biggest piece love make lot
heartbreak,heart made broken
1-corinthians-13,love always patient kind never jealous love never boastful conceited never rude selfish take offense resentful love take pleasure people sin delight truth always ready excuse trust hope endure whatever come
disappointment,history making decision quickly men always fallen love fast without measuring risk tendency see best everyone assume everyone emotionally capable reaching highest potential fallen love time care count highest potential man rather man hung relationship long time sometimes far long waiting man ascend greatness many time romance victim optimism
food,thine self true must follow night day thou canst false man
home,two u home place person finally home
dear-john,agree much fact agree anything fought time challenged ever day despite difference one important thing common crazy
clary-fray,could anything else world asked smiled filthy covered blood dirt beautiful thing she'd ever seen want anything else world
faith,think i've learned anything friendship hang stay connected fight let fight walk away distracted busy tired take granted friend part glue hold life faith together powerful stuff
love,ever love horrible make vulnerable open chest open heart mean someone get inside mess build defense build whole suit armor nothing hurt one stupid person different stupid person wanders stupid life give piece ask something dumb one day like kiss smile life anymore love take hostage get inside eats leaf cry darkness simple phrase like 'maybe friends' turn glass splinter working way heart hurt imagination mind soul-hurt real gets-inside-you-and-rips-you-apart pain hate love
love,love short forgetting long
best-friends,douchebags said gesturing brad girl break heart bowed head eye lost focus absolute fucking horror losing best friend stupid enough fall love
hope,world indeed full peril many dark place still much fair though land love mingled grief grows perhaps greater
love,essence romance uncertainty
love,want needed need indispensable somebody need somebody eat free time ego attention somebody addicted mutual addiction
love,always madness love also always reason madness
love,daddy said first time fall love change forever matter hard try feeling never go away
loss,else perished remained still continue else remained annihilated universe would turn mighty stranger
love,man may discovered fire woman discovered play
beatles,endthe love takeis equal love make
inspirational,need dandelion spring bright yellow mean rebirth instead destruction promise life go matter bad loss good
life,hurt let go sometimes seems harder try hold something someone want get away feel like kind criminal felt wanted wanted wanted confuses think feeling wrong make feel small hard keep inside let coma back left alone can't explain damn there's nothing like i've nodding head
love,love consist gazing looking outward together direction
inspirational,sure exactly heaven like know die come time god judge u ask 'how many good thing done life ' rather ask 'how much love put
busy,calling mind creates expectation follow little thing big thing aware realize okay disappointing someone say going choosing make simple effort would put ease bring harmony recurring fight respect feeling need busy eis another word asshole e asshole eis another word guy dating deserve fcking phone call
love,love fire whether going warm hearth burn house never tell
beatrice,something need tell say run finger along tendon hand look back might love smile little i'm waiting i'm sure tell though that's sensible say smiling find paper make list chart something feel laughter side nose sliding along jaw lip pressing ear maybe i'm already sure say want frighten laugh little know better fine say love
love,answer every prayer i've offered song dream whisper know could lived without long
love,feel peeta press forehead temple asks 'so got going ' turn 'put somewhere can't get hurt
inspirational,remember care everyone else forgets
1997,trust people love tell 'i love ' african saying careful naked person offer shirt
being-loved,seeking special person right u enough relationship begin suspect right person different flavor wrong wrong way seek partner wrong complementary way take lot living grow fully wrongness finally run deepest demon unsolvable problem one make truly ready find lifelong mate finally know looking looking wrong person wrong person got right wrong person someone lovingly gaze upon think problem want find special person wrong right way
humbert-humbert,love first sight last sight ever ever sight
love,love sit like stone made like bread remade time made new
faith,three remain faith hope love greatest love
death,dear find love let kill let drain let cling onto back weigh eventual nothingness let kill let devour remains thing kill slowly fastly much better killed lover falsely
love,like make happy feel like know her---then let go
friend,many slam old screen door depends loud shut many slice bread depends thin cut much good inside day depends good live 'em much love inside friend depends much give 'em
forgetting,pain must come may come quickly life live need live best way possible make choice may make either wait forget
love,careful love it'll twist brain around leave thinking right wrong
life,love somebody let go return always never
amor-deliria-nervosa,love remember cannot take
beauty,think i'm pretty think beautifulbeautiful beautiful hurt sometimes
love,love star sky fish sea
love,love madness love
love,love begin end way seem think love battle love war love growing
inspirational,woman's heart hidden god man seek find
clary-fray,declaration love amuse especially unrequited
love,cannot fix hour spot look word laid foundation long ago middle knew begun
love,true love rare thing give life real meaning
humor,what's demanded looking clary companion might know girl jace said recovering composure surely seen girl alec sister isabelle one
friendship,well seems best relationship - one last - frequently one rooted friendship know one day look person see something night like switch flicked somewhere person friend suddenly person ever imagine
love,love irresistible desire irresistibly desired
cry,smiling yesterday smiling today smile tomorrow simply life short cry anything
love,let space togetherness let wind heaven dance love one another make bond love let rather moving sea shore soul fill other's cup drink one cup give one another bread eat loaf sing dance together joyous let one alone even string lute alone though quiver music give heart other's keeping hand life contain heart stand together yet near together pillar temple stand apart oak tree cypress grow other's shadow
art,good love many thing therein lie true strength whosoever love much performs much accomplish much done love well done
love,love also mean love anyone love loved love also love way one love loved love also love way love one else never loved anyone else never love anyone else
love,clatter basilisk fang cascaded hermione's arm running ron flung around neck kissed full mouth ron threw away fang broomstick holding responded enthusiasm lifted hermione foot moment harry asked weakly nothing happened except ron hermione gripped still firmly swayed spot raised voice oi there's war going ron hermione broke apart arm still around know mate said ron looked though recently hit back head bludger never never mind horcrux harry shouted d'you think could --- hold we've got diadem yeah --- right --- sorry --- said ron hermione set gathering fang pink face
life,stop one heart breaking shall live vain
hippy,power love overcomes love power world know peace
care,think true many mind head many kind love heart
love,curious thought see people looking ridiculous realize much love
love,greater love greater tragedy
hate,hate sin love sinner
happiness,form caution caution love perhaps fatal true happiness
bob-marley,one love one heart one destiny
love,loved reason promise peace hope happiness discouragement could
love,fell love courage sincerity flaming self respect thing i'd believe even whole world indulged wild suspicion love beginning everything
death,gave someone heart died take spend rest forever hole inside filled
inspirational,face expression voice say look body thing beautiful
forgetting,well nowif little little stop loving mei shall stop loving youlittle littleif suddenly forget medo look mefor shall already forgotten youif think long mad wind banner pass lifeand decide leave shore heart rootsrememberthat day hour shall lift armsand root set seek another land
love,know work love pretty amazing overrated there's reason song
love,love met street poor young man love hat old coat worn water passed shoe star soul
compassion,ever wanted reach touch another human hand heart
fearless,fearless absense fear completely unafraid fearless fear fearless doubt lot fearless living spite thing scare death
food,love like fat kid love cake
inspirational,amazing easy easy amazing worth wont give give worthy truth everybody going hurt gotta find one worth suffering
love,possible love part wish transmute love ignore muddle never pull know experience poet right love eternal
growing,allow loved people really love u people really matter much time blinded pursuit people love u people even matter time waste people love u stand sidewalk watch u beg street time put end time u let loved
love,gravitation responsible people falling love
love,waste time looking perfect lover instead creating perfect love
longing,say missing someone probably feeling think possible miss much i'm missing right
bestseller,lip met mine knew could live hundred visit every country world nothing would ever compare single moment first kissed girl dream knew love would last forever
art,fool happy take man real heart make beauty stuff make u weep
humor,welcome wonderful world jealousy thought price admission get splitting headache nearly irresistable urge commit murder inferiority complex yippee
acceptance,relive life skipping awful part without losing made worthwhile accept whole--like world person loved
hell,hell maintain suffering unable love
kissing,never close lip already opened heart
love,love affectionate feeling steady wish loved person's ultimate good far obtained
love,painful thing losing process loving someone much forgetting special
life,life realize much like song beginning mystery end confirmation middle emotion resides make whole thing worthwhile
love,find love let kill
autonomy,probably chance alone would hard man live unless terribly strong stronger one live neither smart stupid think run-of-the-mill person business without businesswoman loved without woman made love two men loved think remember earth heaven men always remember woman caused concern uneasiness done best regard people life without precept taste justice
love,love temporary madness erupts like volcano subsides subsides make decision work whether root entwined together inconceivable ever part love love breathlessness excitement promulgation promise eternal passion desire mate every second minute day lying awake night imagining kissing every cranny body blush telling truth love fool love left love burned away art fortunate accident
love,love untamed force try control destroys u try imprison enslaves u try understand leaf u feeling lost confused
enemies,man knowledge must able love enemy also hate friend
bella,look heart - i've left
death,thing lose way coming back u end always way expect
food,one cannot think well love well sleep well one dined well
love,would like air inhabits moment would like unnoticed necessary
hunger-games,give smile seems genuinely sweet right touch shyness unexpected warmth rush
heartbreak,something boy every time detriment step heart make cry
love,want spring cherry tree
courage,enough courage trust love one time always one time
love,can't measure mutual affection two human being number word exchange
edward,bella life like moonless night dark star point light reason shot across sky like meteor suddenly everything fire brilliancy beauty gone meteor fallen horizon everything went black nothing changed eye blinded light see star anymore reason anything
love,sometimes form love talk somebody nothing common still fascinated presence
love,spell 'love' - piglet spell feel - pooh
love,tonight write saddest linesi loved sometimes loved
love,crave mouth voice hair silent starving prowl street bread nourish dawn disrupts day hunt liquid measure step hunger sleek laugh hand color savage harvest hunger pale stone fingernail want eat skin like whole almond want eat sunbeam flaring lovely body sovereign nose arrogant face want eat fleeting shade lash pace around hungry sniffing twilight hunting hot heart like puma barren quitratue
family,happiness real shared
children,definition found dictionary leaving act trust love often deciphered child
kiss,one day kiss man can't breathe without find breath little consequence
infatuation,maybe fall love hell said love enough want ruin yes want ruin good said that's want
heartbreak,hard ask letting go hard holding something real
humor,i'm saying i'm moody insecure narrow-minded jealous borderline homicidal bitch want promise okay need
love,realize something make feel like fall turn liquid burst flame
art,art love thing process seeing thing
acceptance,letting go mean care someone anymore realizing person really control
beauty,fire within moon life lining skin
friendship,beginning love let love perfectly resolution twist fit image loving love potential likeness love love reflection find
goodbyes,promise never forget thought would i'd never leave
love,anyone fall love searching missing piece anyone who's love get sad think lover like stepping back inside room fond memory one seen long time
devotion,could tell loved first moment saw second third fourth remember first moment looked walking toward realized somehow rest world seemed vanish
affection,actually love felt sort tender curiosity
love,stay night can't go sleep praise god two insomnia difference
love,loved like man love woman never touch writes keep little photograph
inspiration,much anybody entire universe deserve love affection
grief,tear shed another person sign weakness sign pure heart
life,saddest people i've ever met life one care deeply anything passion satisfaction go hand hand without happiness temporary there's nothing make last
love,leaned looked lifeless face leisel kissed best friend rudy steiner soft true lip tasted dusty sweet tasted like regret shadow tree glow anarchist's suit collection kissed long soft pulled away touched mouth finger say goodbye incapable minute side able tear ground amazes human even stream flowing face stagger
love,conversation lyric laughter music making time spent together melody could replayed without getting stale
die,could fooled everytime called luke said sick figured avoiding want talk i've thinking time i've thinking really sick swear almost died back ship know know everytime almost die almost die
alone,alone born alone die alone spite true romance magazine shall someday look back life see spite company alone whole way say lonely least time essentially finally alone make self-respect important see respect must look heart mind others happiness
caring,time wasted rose make rose important
agency,fell love stay default there's one else available stay choose every day wake every day fight lie disappoint choose chooses
love,time hurt began fade easier let go least thought every boy met next year found looking feeling got strong i'd write another letter never sent fear might find gone life want think loving someone else wanted remember u like summer ever want lose
love,one page left write fill word one syllable love loved love
happiness,happiness holding someone arm knowing hold whole world
longing,sometimes look feel i'm gazing distant star dazzling light ten thousand year ago maybe star even exist yet sometimes light seems real anything
books,half-read book half-finished love affair
love,love oneself beginning lifelong romance
life,like flaw think make thing interesting
box,someone loved gave box full darkness took year understand gift
beautiful,i'm oxygen he's dying breathe
love,loved poor
love,lost love still love take different form that's can't see smile bring food tousle hair move around dance floor sens weaken another heightens memory memory becomes partner nurture hold dance
inspiration,read ancient egyptian fifty word sand eskimo hundred word snow wish thousand word love come mind way move sleep word
humanity,every one u cosmic perspective precious human disagrees let live hundred billion galaxy find another
love,i'm sentimental--i'm romantic idea know sentimental person think thing last--the romanticperson desperate confidence
hell,i'm aslan's side even aslan lead i'm going live like narnian even narnia
catching-fire,peeta come never know nightmare ei say know think cry thrash around anything come paralyzed terror ehe say wake ei say thinking interrupt sleep two three time bad night long take calm necessary nightmare usually losing ehe say i'm okay realize
life,purpose human life matter controlling love whoever around loved
love,easy love people memory hard thing love front
goodbye,reason hurt much separate soul connected maybe always maybe we've lived thousand life one we've found maybe time we've forced apart reason mean goodbye goodbye past ten thousand year prelude come
babies,love change person way parent change baby- awkwardly often great deal mess
love,saw fell love smiled knew
love,know say hurt one love well work way
love,always - take form - drive mad leave abyss cannot find oh god unutterable live without life live without soul
love,fell love together fell deeper love year apart
adoration,realized love moment heart burst
love,know we're fucked alright i'm impulsive hot tempered get skin like one else act like hate one minute need next never get anything right deserve fucking love abby love loved anyone anything ever around need booze money fighting one-night stand
love,sorrow learn love heart breaking hurt getting larger larger get love hold
deep,friendship mark life even deeply love love risk degenerating obsession friendship never anything sharing
love,one word free u weight pain life word love
dreams,yes infatuated still one ever heightened keen capacity physical sensation cut stand passing fancy give body must give thought mind dream
love,respect invented cover empty place love
love,take courage love pain love purifying fire love generously know know people much afraid pain shut like clam shell giving nothing receive nothing therefore shrink life mere living death
give,guess part loving people give thing sometimes even give
inspirational,love always red hair white still love smooth softness youth replaced delicate softness age still want touch skin face full line every smile ever smiled every surprise seen flash eye every tear ever cried left mark upon face treasure see share life meredith love last breath leaf body mine
human-nature,one judge le one love
heart,heart reason reason know
at-first-sight,emotion break heart sometimes one heals
desperate,time passing like hand waving train wanted hope never think anything much think
beautiful,fall love people like take museum park monument kiss every beautiful place never go back without tasting like blood mouth destroy beautiful way possible leave finally understand storm named people
love,sometimes love mean letting go want hold tighter
friendship,holding eleanor's hand like holding butterfly heartbeat like holding something complete completely alive
decisions,trust heart sea catch fire live love though star walk backward
books,love learning sequestered nook sweet serenity book
humour,someone harm family friend somebody love would eat might end jail 500 year would eat
heartache,childhood's hour others seen others saw could awaken heart joy tone loved loved alone
love,come sleep make love love make u
friendship,people forgotten truth fox said forget become responsible forever tamed responsible rose
infatuation,stay i'll whatever want i'll quit band go new york need go away i'll talking liz said maybe coming back old life would painful maybe it'd easier erase u would suck i'd lose like lose today i'll let go stay
humor,nothing take taste peanut butter quite like unrequited love
children,god created mother good lord creating mother sixth day overtime angel appeared said lot fiddling around one god said read spec order completely washable plastic 180 moveable part replaceable run black coffee leftover lap disappears stand kiss cure anything broken leg disappointed love affair six pair hand angel shook head slowly said six pair hand way hand causing problem god remarked three pair eye mother that's standard model asked angel god nodded one pair see closed door asks 'what kid ' already know another back head see know course one front look child goof say 'i understand love you' without much uttering word god said angel touching sleeve gently get rest tomorrow can't said god i'm close creating something close already one heals sick feed family six one pound hamburger get nine year old stand shower angel circled model mother slowly soft sighed tough said god excitedly imagine mother endure think think reason compromise said creator finally angel bent ran finger across cheek there's leak pronounced told trying put much model leak said lord tear what's joy sadness disappointment pain loneliness pride genius said angel somberly god said put
love,someone heart they're never truly gone come back even unlikely time
emotion,ever love know depth hour separation
crying,cry someone cry
love,absence diminishes small love increase great one wind blow candle fan bonfire
blood,stop fighting said trying pull arm held precarious position straddling rail tried lean far enough get actually hold onto let go ei yelled back strong managed haul rail enough total danger falling see thing moment let go really contemplating death come term accepted also however known dimitri might something exactly like fast good holding stake hand dangling free looked eye always love plunged stake chest precise blow would liked skilled way dodging struggled get stake deep enough heart unsure could angle struggle stopped eye stared stunned lip parted almost smile albeit grisly pained one supposed say ehe gasped last word
crescendo,never felt wrong one thing right one thing right
couples,wonder many people get one want end one they're supposed
love,love thee let count way love thee depth breadth heightmy soul reach
love,trip love easy get fall love impossible stand
hope,begin everything start today
acceptance,love life love evenwhen stomach itand everything held dearcrumbles like burnt paper hand throat filled silt grief sits tropical heatthickening air heavy watermore fit gill lung grief weight like fleshonly obesity grief think body withstand hold life like facebetween palm plain face charming smile violet eye say yes take youi love
grief,without arm feel emptiness soul find searching crowd face - know impossibility cannot help
acceptance,fully seen somebody loved anyhow - human offering border miraculous
fighting,fighting life point person worth fighting
action,want relationship telling love ceremonious validation already show
love,light learn love beauty make poem dance inside chest no-one see sometimes sight becomes art
attraction,power glance much abused love story come disbelieved people dare say two being fallen love looked yet way love begin way
inconvenient,true love usually inconvenient kind
loss,get eit clichés cause trouble lose someone love alter life ever get eis person loved pain stop new people gap never close could particularness someone mattered enough grieve made anodyne death hole heart shape no-one else fit would want
intellect,watch intellect know much know nothingand leaf hanging upside mouthing knowledge heartfalls mouth
annabeth-chase,we're staying together promised getting away never
kiss,sunlight clap earth moonbeam kiss sea kissing worth thou kiss
life,even timethe sun never say earth owe lookwhat happenswith love like light whole sky
friends,say like i'm talking part know life far anything ever see hear touch deep part allows stand thing without humankind cannot survive love conquers hate peace rise triumphant war justice prof powerful greed
love,lose balance sometimes love part living balancedlife
inequality,know never fifty-fifty marriage always seventy-thirty sixty-forty someone fall love first someone put someone else pedestal someone work hard keep thing rolling smoothly someone else sail along ride
aloneness,therefore dear sir love solitude try sing pain cause near far away show space around beginning grow vast happy growth course can't take anyone gentle stay behind confident calm front torment doubt frighten faith joy able comprehend seek simple true feeling common necessarily alter change see love life form indulgent toward growing old afraid aloneness trust expect understanding believe love stored like inheritance faith love strength blessing large travel far wish without step outside
humor,love something set free surprised come back herpes
love,wish may loved point madness
love,thing love destroy u every time lad remember
dreams,throw dream space like kite know bring back new life new friend new love new country
god,sought hear voice god climbed topmost steeple god declared go - dwell among people
emotion,think love worthless think want anymore right -- judgement opinion correct throw garbage think belongs want belong bad word 'belong ' especially put somebody love love like ever see way cloud love mountain circle around sometimes can't even see mountain cloud know go top see head cloud never cover head head poke beacuse cloud let wrap let keep head high free nothing hide bind can't human can't lose suppose could really love somebody absolutely nobody without really want somebody like somebody fall apart walk door neither turning whole life whole life girl mean little give away hand mean can't value value
bella,bond forged u one could broken absence distance time matter much special beautiful brilliant perfect might irreversibly altered would always belong would always mine
love,love happy person happy sad person sad together good time together bad time love source strength love honest time honest person time telling listening respecting truth never pretending love source reality love understanding complete feel part person accepting person way trying change something else love source unity love freedom pursue desire sharing experience person growth one individual alongside together growth another individual love source success love excitement planning thing together excitement thing together love source future love fury storm calm rainbow love source passion love giving taking daily situation patient other's need desire love source sharing love knowing person always regardless happens missing person away remaining near heart time love source security love source life
compassion,peace forgotten belong
life,sometimes need goal life need know big picture need know going next
love,cause choose love cause love u
heartbreak,ever leave even though always leaving
love,call love loved anything creation loved there's need understand what's happening everything happens within
etienne-st-clair,love certain dark thing loved secretly shadow soul
fear,calibration count much heart people invest much ignore fear hurt caught humiliated thing people regret live boldly enough invest enough heart love enough nothing else really count
change,trapped locked bone free change love change u love one another break open sky
katniss,sometimes i'm alone take pearl life pocket try remember boy bread strong arm warded nightmare train kiss arena
love,ok fuck snub love hate show sensitive side turn total asshole pretty accurate description relationship
love,kiss lot frog find prince
behrendt,i'm make wild extreme severe relationship rule word busy load crap often used asshole word busy relationship weapon mass destruction seems like good excuse fact every silo uncover going find man care enough call remember men never busy get want
be-yourself,life people love love like
broken-heart,part prefer heart broken lovely dawn-kaleidoscopic within crack
infatuation,world collapsing thing really mattered alive
life,look mirror know looking someone sure deserves loved
love,always hungry love wanted know like get fill -- fed much love take
fearless,fearless eis absence fear completely unafraid fearless fear fearless doubt lot fearless living spite thing scare death fearless falling madly love even though hurt fearless walking freshman year high school fifteen fearless getting back fighting want even though every time tried lost fearless faith someday thing change fearless courage say goodbye someone hurt even breathe without think fearless fall best friend even though love someone else someone apologizes enough time thing never stop think fearless stop believing fearless say sorry e walk away think loving someone despite people think fearless think allowing cry bathroom floor fearless letting go fearless moving alright sfearless matter love throw believe believe love story prince charmings happily ever write song think love fearless
love,course true love never run smooth
inspiration,romance glamour turn dust everyday life golden haze
life,love world make new world give wall furnish soft red interior inside give knocker resonates like diamond falling jeweller's felt never hear love love exist tried everything
love,perfect world could fuck people without giving piece heart every glittering kiss every touch flesh another shard heart never see
love,human heart strange vessel love hatred exist side side
love,love speaking unnecessary
heartbreak,someday gonna look back moment life sweet time grieving see mourning heart broken life changing
love,meet someone fall love sense whole universe side yet something go wrong nothing left possible beauty minute vanish quickly life move fast rush heaven hell matter second
love,spending time showed missing life
enemy,moment truly understand enemy understand well enough defeat moment also love think impossible really understand somebody want believe love way love moment love destroy
desire,sex consolation can't love
grace-brisbane,possible love
love,music laughter way rounding missing note soul
ardor,loved power puny love much eighty year could day
love,romeo romeo wherefore art thou romeo deny thy father refuse thy name thou art thyself thou montegue montegue ti hand foot part belonging man name call rose name would smell sweet romeo would romeo called retain dear perfection owes without title romeo doth thy name name part thee take thyself
bella-swan,even never meant love one thing truly knew - knew pit stomach center bone knew crown head sol foot knew deep empty chest - love gave someone power break
answers,bet could sometimes find mystery universe someone's hand
authentic-living,smiling le worrying compassion le judgment blessed le stressed love le hate
fire,u born box match inside u can't strike
1897,yet man kill thing lovesby let heardsome bitter looksome flattering wordthe coward kissthe brave man sword
happiness,know that's people say-- get i'd say know true oh youll happy never fear forget every time fall love something man reminds
decision,love decision judgment promise love feeling would basis promise love forever feeling come may go judge stay forever act involve judgment decision
love,love always new regardless whether love twice dozen time life always face brand-new situation love consign u hell paradise always take u somewhere simply accept nourishes existence reject die hunger lack courage stretch hand pluck fruit branch tree life take love find even mean hour day week disappointment sadness moment begin seek love love begin seek u save u
butterflies,almost wish butterfly liv'd three summer day - three day could fill delight fifty common year could ever contain
life,i'd learned thing best kept secret
love,car beautiful boy tell love love feel like done something terrible like robbed liquor store swallowed pill shoveled grave dirt tired car beautiful boy trying tell love trying choke feeling trembling reach touch like prayer word exist feel heart taking root body like discovered something even name
love,waste love somebody value
clary,next time planning injure get attention remember little sweet talk work wonder
